,city,category,property,price,currency,min_price,max_price
207,Heidelberg,Markets,Potato (1kg),1.80,€,0.59,2.99
208,Heidelberg,Markets,Onion (1kg),1.01,€,0.89,1.50
209,Heidelberg,Markets,Lettuce (1 head),1.53,€,1.00,2.00
210,Heidelberg,Markets,Water (1.5 liter bottle),0.56,€,0.35,1.00
211,Heidelberg,Markets,Bottle of Wine (Mid-Range),5.50,€,3.99,8.00
212,Heidelberg,Markets,Domestic Beer (0.5 liter bottle),0.83,€,0.54,1.29
213,Heidelberg,Markets,Imported Beer (0.33 liter bottle),2.21,€,1.00,3.00
214,Heidelberg,Markets,Cigarettes 20 Pack (Marlboro),7.20,€,7.00,8.00
216,Heidelberg,Transportation,One-way Ticket (Local Transport),2.80,€,2.70,3.00
217,Heidelberg,Transportation,Monthly Pass (Regular Price),85.50,€,78.00,90.00
218,Heidelberg,Transportation,Taxi Start (Normal Tariff),3.00,€,3.00,5.00
219,Heidelberg,Transportation,Taxi 1km (Normal Tariff),2.60,€,1.90,3.00
220,Heidelberg,Transportation,Taxi 1hour Waiting (Normal Tariff),30.00,€,28.20,30.00
221,Heidelberg,Transportation,Gasoline (1 liter),2.00,€,1.74,2.20
222,Heidelberg,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"23,000.00",€,"21,000.00","25,000.00"
223,Heidelberg,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"28,000.00",€,"30,000.00","31,000.00"
225,Heidelberg,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",281.85,€,226.67,380.00
226,Heidelberg,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.09,€,0.02,0.09
227,Heidelberg,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",37.12,€,30.00,45.00
229,Heidelberg,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",35.75,€,15.00,50.00
230,Heidelberg,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),21.50,€,20.00,24.00
231,Heidelberg,Internet (60 Mbps,"Cinema, International Release, 1 Seat",14.50,€,12.00,15.00
233,Heidelberg,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",430.00,€,250.00,550.00
234,Heidelberg,Childcare,"International Primary School, Yearly for 1 Child","19,000.00",€,"17,000.00","20,000.00"
236,Heidelberg,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),84.14,€,60.00,110.00
237,Heidelberg,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.25,€,20.00,55.00
238,Heidelberg,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),90.67,€,75.00,120.00
239,Heidelberg,Clothing And Shoes,1 Pair of Men Leather Business Shoes,114.00,€,80.00,150.00
241,Heidelberg,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,014.09",€,800.00,"1,450.00"
242,Heidelberg,Rent Per Month,Apartment (1 bedroom) Outside of Centre,752.73,€,600.00,"1,000.00"
243,Heidelberg,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,750.00",€,"1,500.00","2,200.00"
244,Heidelberg,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,390.91",€,"1,100.00","1,900.00"
246,Heidelberg,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"7,000.00",€,"7,000.00","8,000.00"
247,Heidelberg,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"4,900.00",€,"4,500.00","5,500.00"
249,Mannheim,Restaurants,"Meal, Inexpensive Restaurant",12.00,€,9.00,12.00
250,Mannheim,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",55.00,€,30.00,75.00
251,Mannheim,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.00,€,8.00,10.00
252,Mannheim,Restaurants,Domestic Beer (0.5 liter draught),3.90,€,3.00,5.00
253,Mannheim,Restaurants,Imported Beer (0.33 liter bottle),3.50,€,2.00,4.00
254,Mannheim,Restaurants,Cappuccino (regular),3.00,€,1.00,4.00
255,Mannheim,Restaurants,Coke/Pepsi (0.33 liter bottle),2.34,€,2.00,3.00
256,Mannheim,Restaurants,Water (0.33 liter bottle),2.33,€,2.00,2.50
258,Mannheim,Markets,"Milk (regular), (1 liter)",1.03,€,0.80,1.19
259,Mannheim,Markets,Loaf of Fresh White Bread (500g),1.67,€,1.00,3.25
260,Mannheim,Markets,"Rice (white), (1kg)",1.61,€,1.00,2.29
261,Mannheim,Markets,Eggs (regular) (12),2.48,€,1.44,3.60
262,Mannheim,Markets,Local Cheese (1kg),13.30,€,10.00,16.00
263,Mannheim,Markets,Chicken Fillets (1kg),7.22,€,3.00,10.00
264,Mannheim,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),19.75,€,11.00,23.00
265,Mannheim,Markets,Apples (1kg),2.75,€,1.99,3.99
266,Mannheim,Markets,Banana (1kg),1.60,€,1.59,2.00
267,Mannheim,Markets,Oranges (1kg),1.98,€,1.35,4.00
